,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Pts Won,Pts Max,Share,WS,WS/48,W,L,W/L%,GB,PS/G,PA/G,SRS,PTS_Scaled,TRB_Scaled,AST_Scaled,STL_Scaled,BLK_Scaled,FG%_Scaled,eFG%_Scaled,WS_Scaled,WS/48_Scaled
10835,Patrick Ewing,31.0,New York Knicks,C,79.0,79.0,37.6,9.4,19.0,0.496,0.1,0.2,0.286,9.4,18.8,0.498,0.497,5.6,7.4,0.765,2.8,8.4,11.2,2.3,1.1,2.7,3.3,3.5,24.5,1994,255.0,1010.0,0.252,13.1,0.211,57,25,.695,—,98.5,91.5,6.48,0.32228397503750017,1.1223183058051642,-1.1537480971765746,-0.5810423087768165,1.998239409207918,0.16318967435963164,-0.5796372099411157,0.6644320838792458,0.29856733491440784
10836,Patrick Ewing,32.0,New York Knicks,C,79.0,79.0,37.0,9.2,18.4,0.503,0.1,0.3,0.286,9.2,18.1,0.506,0.505,5.3,7.1,0.75,2.0,9.0,11.0,2.7,0.9,2.0,3.2,3.4,23.9,1995,230.0,1050.0,0.219,9.6,0.157,55,27,.671,2.0,98.2,95.1,2.78,0.20690954308863074,1.0612465692716095,-1.0046605633695658,-0.96266902032875,1.2031333146413195,0.3177380324446057,-0.3901142897057623,-0.38762131304830766,-0.8228474897242004
10838,Patrick Ewing,34.0,New York Knicks,C,78.0,78.0,37.0,8.4,17.2,0.488,0.0,0.1,0.222,8.4,17.1,0.49,0.489,5.6,7.5,0.754,2.2,8.4,10.7,2.0,0.9,2.4,3.4,3.2,22.4,1997,57.0,1150.0,0.05,9.8,0.163,57,25,.695,4.0,95.4,92.2,3.31,-0.08152653678354219,0.969638964471277,-1.265563747531831,-0.96266902032875,1.6574796543936614,-0.013437020594624394,-0.769160130176469,-0.3275039760810186,-0.6982458425421326
10903,Paul George,23.0,Indiana Pacers,SF,80.0,80.0,36.2,7.2,17.0,0.424,2.3,6.3,0.364,4.9,10.8,0.458,0.49,5.0,5.8,0.864,0.8,6.0,6.8,3.5,1.9,0.3,2.8,2.5,21.7,2014,33.0,1250.0,0.026,10.8,0.178,56,26,.683,—,96.7,92.3,3.63,-0.21613004072388942,-0.2212598979330434,-0.7064854957555484,0.9454645374309165,-0.7278386293061337,-1.4264505802286715,-0.7454697651470499,-0.026917291244574756,-0.386741724586964
10908,Paul George,28.0,Oklahoma City Thunder,SF,77.0,77.0,36.9,9.2,21.0,0.438,3.8,9.8,0.386,5.4,11.1,0.484,0.529,5.9,7.0,0.839,1.4,6.8,8.2,4.1,2.2,0.4,2.7,2.8,28.0,2019,356.0,1010.0,0.352,11.9,0.201,49,33,.598,5.0,114.5,111.1,3.56,0.995301494739237,0.20624225780184074,-0.4828541950450355,1.517904604758817,-0.6142520443680484,-1.1173538640587235,0.17845447100029774,0.30372806207551334,0.09089792294429555
10937,Paul Pierce,23.0,Boston Celtics,SF,82.0,82.0,38.0,8.4,18.5,0.454,1.8,4.7,0.383,6.6,13.8,0.478,0.503,6.7,9.0,0.745,1.1,5.2,6.4,3.1,1.7,0.8,3.2,3.1,25.3,2001,5.0,1240.0,0.004,10.4,0.16,36,46,.439,20.0,94.6,96.8,-2.40,0.47611655096932587,-0.34340337100015306,-0.8555730295625571,0.5638378258789832,-0.15990570461570633,-0.7641004741502113,-0.43749501976460065,-0.1471519651791524,-0.7605466661331665
10938,Paul Pierce,24.0,Boston Celtics,SG,82.0,82.0,40.3,8.6,19.5,0.442,2.6,6.3,0.404,6.1,13.1,0.461,0.508,6.3,7.8,0.809,1.0,5.9,6.9,3.2,1.9,1.0,2.9,2.9,26.1,2002,22.0,1260.0,0.017,12.9,0.187,49,33,.598,3.0,96.4,94.1,1.75,0.6299491269011516,-0.19072402966626578,-0.8183011461108048,0.9454645374309165,0.0672674652604646,-1.0290405165815955,-0.3190431946175048,0.6043147469119572,-0.19983925381386242
10939,Paul Pierce,25.0,Boston Celtics,SG,79.0,79.0,39.2,8.4,20.2,0.416,1.5,4.9,0.302,6.9,15.2,0.454,0.454,7.6,9.5,0.802,1.3,6.0,7.3,4.4,1.8,0.8,3.6,2.9,25.9,2003,1.0,1190.0,0.001,10.1,0.157,44,38,.537,5.0,92.7,93.1,-0.75,0.5914909829181947,-0.06858055659915614,-0.37103854468977876,0.75465118165495,-0.15990570461570633,-1.6030772751829274,-1.5983229062061386,-0.23732797063008576,-0.8228474897242004
10944,Paul Pierce,30.0,Boston Celtics,SF,80.0,80.0,35.9,6.4,13.7,0.464,1.8,4.6,0.392,4.6,9.2,0.499,0.529,5.1,6.1,0.843,0.7,4.5,5.1,4.5,1.3,0.5,2.8,2.5,19.6,2008,1.0,1260.0,0.001,12.4,0.207,66,16,.805,—,100.5,90.3,9.30,-0.6199405525449311,-0.7403696584682601,-0.3337666612380267,-0.19941559722488325,-0.5006654594299629,-0.5433171054573913,0.17845447100029774,0.4540214044937353,0.21549957012636267
10945,Paul Pierce,31.0,Boston Celtics,SF,81.0,81.0,37.5,6.7,14.6,0.457,1.5,3.8,0.391,5.2,10.8,0.48,0.508,5.7,6.8,0.83,0.7,5.0,5.6,3.6,1.0,0.3,2.8,2.7,20.5,2009,21.0,1210.0,0.017,10.3,0.164,62,20,.756,—,100.9,93.4,7.44,-0.4468789046216276,-0.5876903171343728,-0.6692136123037962,-0.7718556645527833,-0.7278386293061337,-0.6978654635423653,-0.3190431946175048,-0.17721063366279668,-0.6774789013451213
10979,Peja StojakoviÄ,24.0,Sacramento Kings,SF,71.0,71.0,37.3,7.7,15.9,0.484,1.8,4.4,0.416,5.9,11.5,0.51,0.541,4.0,4.5,0.876,1.0,4.2,5.3,2.5,1.1,0.2,2.0,1.7,21.2,2002,1.0,1260.0,0.001,9.9,0.179,61,21,.744,—,104.6,97.0,7.61,-0.3122754006812804,-0.6792979219347052,-1.07920433027307,-0.5810423087768165,-0.8414252142442193,-0.10175036807175242,0.46273885135332776,-0.2974453075973743,-0.3659747833899527
10981,Peja StojakoviÄ,26.0,Sacramento Kings,SF,81.0,81.0,40.3,8.2,17.1,0.48,3.0,6.8,0.433,5.2,10.3,0.511,0.566,4.9,5.2,0.927,1.1,5.1,6.3,2.1,1.3,0.2,1.9,2.0,24.2,2004,281.0,1230.0,0.228,13.5,0.198,55,27,.671,1.0,102.8,97.8,5.41,0.26459675906306546,-0.3739392392669306,-1.2282918640800788,-0.19941559722488325,-0.8414252142442193,-0.19006371554888044,1.0549979770888043,0.7846667578138234,0.028597099353261705
11178,Rajon Rondo,24.0,Boston Celtics,PG,68.0,68.0,37.2,4.7,9.9,0.475,0.1,0.6,0.233,4.5,9.2,0.491,0.482,1.1,1.9,0.568,1.3,3.1,4.4,11.2,2.3,0.2,3.4,1.8,10.6,2011,5.0,1210.0,0.004,6.6,0.126,56,26,.683,—,96.5,91.1,4.83,-2.350557031777969,-0.954120736335702,2.163449530029369,1.708717960534783,-0.8414252142442193,-0.30045539989529046,-0.9349926853824032,-1.289381367557639,-1.4666226668315496
11179,Rajon Rondo,25.0,Boston Celtics,PG,53.0,53.0,36.9,4.8,10.8,0.448,0.2,0.8,0.238,4.6,10.0,0.464,0.456,2.0,3.4,0.597,1.2,3.7,4.8,11.7,1.8,0.1,3.6,1.9,11.9,2012,12.0,1210.0,0.01,4.9,0.121,39,27,.591,—,91.8,89.3,2.26,-2.1005790958887522,-0.8319772632685924,2.3498089472881296,0.75465118165495,-0.9550117991823048,-0.8965704953659034,-1.5509421761473001,-1.8003787317795934,-1.570457372816606
11287,Rasheed Wallace,33.0,Detroit Pistons,C,77.0,76.0,30.5,4.9,11.3,0.432,1.5,4.1,0.356,3.4,7.2,0.476,0.497,1.5,1.9,0.767,1.1,5.5,6.6,1.8,1.2,1.7,1.1,2.8,12.7,2008,1.0,1260.0,0.001,7.6,0.155,59,23,.720,—,97.5,90.1,6.67,-1.946746519956927,-0.28233163446659837,-1.3401075144353354,-0.3902289530008501,0.862373559827063,-1.2498238852744155,-0.5796372099411157,-0.9887946827211953,-0.864381372118223
11332,Ray Allen,25.0,Milwaukee Bucks,SG,82.0,82.0,38.2,7.7,16.0,0.48,2.5,5.7,0.433,5.2,10.3,0.506,0.557,4.2,4.8,0.888,1.2,4.0,5.2,4.6,1.5,0.2,2.5,2.3,22.0,2001,7.0,1240.0,0.006,13.7,0.211,52,30,.634,—,100.7,96.9,3.14,-0.1584428247494547,-0.7098337902014825,-0.29649477778627464,0.18221111432705,-0.8414252142442193,-0.19006371554888044,0.8417846918240345,0.8447840947811119,0.29856733491440784
11335,Ray Allen,29.0,Seattle SuperSonics,SG,78.0,78.0,39.3,8.2,19.2,0.428,2.7,7.1,0.376,5.5,12.0,0.459,0.498,4.8,5.5,0.883,1.0,3.4,4.4,3.7,1.1,0.1,2.2,2.1,23.9,2005,41.0,1270.0,0.032,10.7,0.168,52,30,.634,—,98.9,96.6,2.59,0.20690954308863074,-0.954120736335702,-0.631941728852044,-0.5810423087768165,-0.9550117991823048,-1.3381372327515435,-0.5559468449116964,-0.05697595972821957,-0.5944111365570762
11422,Reggie Miller,32.0,Indiana Pacers,SG,81.0,81.0,34.5,6.4,13.3,0.477,2.0,4.7,0.429,4.3,8.6,0.504,0.553,4.7,5.4,0.868,0.6,2.3,2.9,2.1,1.0,0.1,1.6,1.8,19.5,1998,2.0,1160.0,0.002,12.0,0.206,58,24,.707,4.0,96.0,89.9,6.25,-0.6391696245364096,-1.4121587603373638,-1.2282918640800788,-0.7718556645527833,-0.9550117991823048,-0.25629872615672644,0.7470232317063578,0.33378673055915764,0.1947326289293514
11424,Reggie Miller,34.0,Indiana Pacers,SG,81.0,81.0,36.9,5.8,12.9,0.448,2.0,5.0,0.408,3.7,7.9,0.473,0.527,4.6,5.0,0.919,0.6,2.3,3.0,2.3,1.0,0.3,1.6,1.6,18.1,2000,1.0,1210.0,0.001,10.1,0.162,56,26,.683,—,101.3,96.7,4.15,-0.9083766324171041,-1.3816228920705864,-1.1537480971765746,-0.7718556645527833,-0.7278386293061337,-0.8965704953659034,0.1310737409414594,-0.23732797063008576,-0.7190127837391439
11595,Rik Smits,31.0,Indiana Pacers,C,73.0,69.0,28.6,7.0,14.2,0.495,0.0,0.0,0.0,7.0,14.2,0.497,0.495,2.6,3.3,0.783,1.7,5.2,6.9,1.4,0.5,1.2,1.8,3.3,16.7,1998,2.0,1160.0,0.002,6.1,0.141,58,24,.707,4.0,96.0,89.9,6.25,-1.1775836402977993,-0.19072402966626578,-1.4891950482423442,-1.7259224434326168,0.29444063513663554,0.14111133749034963,-0.627017939999954,-1.4396747099758611,-1.1551185488763809
11642,Robert Parish,37.0,Boston Celtics,C,81.0,81.0,30.1,6.0,10.0,0.598,0.0,0.0,0.0,6.0,10.0,0.599,0.598,2.9,3.8,0.767,3.3,7.2,10.6,0.8,0.8,1.3,1.9,2.4,14.9,1991,10.0,960.0,0.01,10.0,0.198,56,26,.683,—,111.5,105.7,5.22,-1.5237069361444064,0.9391030962044996,-1.7128263489528572,-1.1534823761047166,0.40802722007472114,2.4151800350263937,1.8130896580302176,-0.26738663911373006,0.028597099353261705
11706,Rod Strickland,31.0,Washington Wizards,PG,76.0,76.0,39.7,6.4,14.9,0.434,0.2,0.6,0.25,6.3,14.2,0.442,0.439,4.7,6.5,0.726,1.5,3.9,5.3,10.5,1.7,0.3,3.5,2.4,17.8,1998,1.0,1160.0,0.001,8.1,0.129,42,40,.512,13.0,97.2,96.6,1.11,-0.9660638483915388,-0.6792979219347052,1.9025463458671037,0.5638378258789832,-0.7278386293061337,-1.2056672115358513,-1.9536783816474261,-0.8385013403029734,-1.4043218432405158
11938,Rudy Gobert,28.0,Utah Jazz,C,71.0,71.0,30.8,5.5,8.2,0.675,0.0,0.1,0.0,5.5,8.1,0.68,0.675,3.3,5.3,0.623,3.4,10.1,13.5,1.3,0.6,2.7,1.7,2.3,14.3,2021,8.0,1010.0,0.008,11.3,0.248,52,20,.722,—,116.4,107.2,8.97,-1.6390813680932756,1.8246432759410458,-1.5264669316940962,-1.53510908765665,1.998239409207918,4.115211973961108,3.6372477652954935,0.12337605117364717,1.0669441592038247
11956,Russell Westbrook,23.0,Oklahoma City Thunder,PG,66.0,66.0,35.3,8.8,19.2,0.457,0.9,3.0,0.316,7.8,16.2,0.482,0.481,5.2,6.3,0.823,1.5,3.1,4.6,5.5,1.7,0.3,3.6,2.2,23.6,2012,4.0,1210.0,0.003,7.9,0.163,47,19,.712,—,103.1,96.9,6.44,0.1492223271141967,-0.8930489998021474,0.03895217327949503,0.5638378258789832,-0.7278386293061337,-0.6978654635423653,-0.9586830504118223,-0.898618677270262,-0.6982458425421326
11957,Russell Westbrook,24.0,Oklahoma City Thunder,PG,82.0,82.0,34.9,8.2,18.7,0.438,1.2,3.7,0.323,7.0,15.1,0.466,0.47,5.6,7.0,0.8,1.4,3.9,5.2,7.4,1.8,0.3,3.3,2.3,23.2,2013,9.0,1210.0,0.007,11.6,0.195,60,22,.732,—,105.7,96.5,9.15,0.07230603914828351,-0.7098337902014825,0.7471179588627864,0.75465118165495,-0.7278386293061337,-1.1173538640587235,-1.2192770657354333,0.21355205662458,-0.03370372423777215
11959,Russell Westbrook,26.0,Oklahoma City Thunder,PG,67.0,67.0,34.4,9.4,22.0,0.426,1.3,4.3,0.299,8.1,17.7,0.457,0.455,8.1,9.8,0.835,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,28.1,2015,352.0,1300.0,0.271,10.6,0.222,45,37,.549,6.0,104.0,101.8,2.47,1.0145305667307154,-0.06858055659915614,1.1943805602838122,1.3270912489828501,-0.8414252142442193,-1.3822939064901074,-1.5746325411767195,-0.08703462821186385,0.527003688081532
11960,Russell Westbrook,27.0,Oklahoma City Thunder,PG,80.0,80.0,34.4,8.2,18.1,0.454,1.3,4.3,0.296,6.9,13.8,0.503,0.489,5.8,7.2,0.812,1.8,6.0,7.8,10.4,2.0,0.3,4.3,2.5,23.5,2016,486.0,1310.0,0.371,14.0,0.245,55,27,.671,—,110.2,102.9,7.09,0.12999325512271823,0.0840987847347311,1.8652744624153517,1.1362778932068833,-0.7278386293061337,-0.7641004741502113,-0.769160130176469,0.9349601002320453,1.0046433356127908
11961,Russell Westbrook,28.0,Oklahoma City Thunder,PG,81.0,81.0,34.6,10.2,24.0,0.425,2.5,7.2,0.343,7.7,16.8,0.459,0.476,8.8,10.4,0.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,2017,888.0,1010.0,0.879,13.1,0.224,47,35,.573,4.0,106.6,105.8,1.14,1.6875480864324524,0.969638964471277,1.8652744624153517,0.3730244701030168,-0.6142520443680484,-1.4043722433593895,-1.077134875558918,0.6644320838792458,0.5685375704755545
11962,Russell Westbrook,29.0,Oklahoma City Thunder,PG,80.0,80.0,36.4,9.5,21.1,0.449,1.2,4.1,0.298,8.3,17.0,0.485,0.477,5.2,7.1,0.737,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5,25.4,2018,76.0,1010.0,0.075,10.1,0.166,48,34,.585,1.0,107.9,104.4,3.42,0.49534562296080364,0.7864237548706124,1.8280025789635996,0.75465118165495,-0.7278386293061337,-0.8744921584966213,-1.053444510529499,-0.23732797063008576,-0.6359450189510988
11963,Russell Westbrook,30.0,Oklahoma City Thunder,PG,73.0,73.0,36.0,8.6,20.2,0.428,1.6,5.6,0.29,7.0,14.5,0.481,0.468,4.1,6.2,0.656,1.5,9.6,11.1,10.7,1.9,0.5,4.5,3.4,22.9,2019,8.0,1010.0,0.008,6.8,0.124,49,33,.598,5.0,114.5,111.1,3.56,0.014618823173848786,1.0917824375383869,1.9770901127706078,0.9454645374309165,-0.5006654594299629,-1.3381372327515435,-1.2666577957942702,-1.2292640305903504,-1.5081565492255722
11965,Russell Westbrook,32.0,Washington Wizards,PG,65.0,65.0,36.4,8.4,19.0,0.439,1.3,4.2,0.315,7.0,14.8,0.475,0.474,4.2,6.4,0.656,1.7,9.9,11.5,11.7,1.4,0.4,4.8,2.9,22.2,2021,5.0,1010.0,0.005,3.7,0.075,34,38,.472,7.0,116.6,118.5,-1.85,-0.11998468076649844,1.213925910605497,2.3498089472881296,-0.008602241448916846,-0.6142520443680484,-1.0952755271894414,-1.1245156056177565,-2.1610827535833264,-2.525736667879124
12058,Sam Cassell,34.0,Minnesota Timberwolves,PG,81.0,81.0,35.0,7.7,15.7,0.488,0.9,2.3,0.398,6.7,13.4,0.504,0.517,3.6,4.1,0.873,0.5,2.8,3.3,7.3,1.3,0.2,2.7,3.0,19.8,2004,4.0,1230.0,0.003,12.1,0.205,58,24,.707,—,94.5,89.1,5.86,-0.5814824085619749,-1.2900152872702542,0.7098460754110341,-0.19941559722488325,-0.8414252142442193,-0.013437020594624394,-0.10582990935273229,0.3638453990428019,0.1739656877323401
12231,Scottie Pippen,26.0,Chicago Bulls,SF,82.0,82.0,38.6,8.4,16.6,0.506,0.2,1.0,0.2,8.2,15.6,0.525,0.511,4.0,5.3,0.76,2.3,5.4,7.7,7.0,1.9,1.1,3.1,3.0,21.0,1992,32.0,960.0,0.033,12.7,0.192,67,15,.817,—,109.9,99.5,10.07,-0.3507335446642367,0.05356291646795377,0.5980304250557776,0.9454645374309165,0.1808540501985502,0.38397304305245167,-0.2479720995292473,0.5441974099446681,-0.096004547828806
12233,Scottie Pippen,28.0,Chicago Bulls,SF,72.0,72.0,38.3,8.7,17.8,0.491,0.9,2.7,0.32,7.8,15.0,0.522,0.515,3.8,5.7,0.66,2.4,6.3,8.7,5.6,2.9,0.8,3.2,3.2,22.0,1994,390.0,1010.0,0.386,11.2,0.194,55,27,.671,2.0,98.0,94.9,2.87,-0.1584428247494547,0.358921599135728,0.07622405673124706,2.8535980951905833,-0.15990570461570633,0.05279799001322162,-0.15321063941157062,0.09331738269000235,-0.05447066543478343
12234,Scottie Pippen,29.0,Chicago Bulls,SF,79.0,79.0,38.2,8.0,16.7,0.48,1.4,4.0,0.345,6.6,12.7,0.523,0.522,4.0,5.6,0.716,2.2,5.9,8.1,5.2,2.9,1.1,3.4,3.0,21.4,1995,83.0,1050.0,0.079,11.8,0.188,47,35,.573,5.0,101.5,96.7,4.32,-0.27381725669832413,0.1757063895350634,-0.07286347707576142,2.8535980951905833,0.1808540501985502,-0.19006371554888044,0.012621915794363555,0.2736693935918691,-0.17907231261685114
12235,Scottie Pippen,30.0,Chicago Bulls,SF,77.0,77.0,36.7,7.3,15.8,0.463,1.9,5.2,0.374,5.4,10.6,0.507,0.525,2.9,4.2,0.679,2.0,4.5,6.4,5.9,1.7,0.7,2.7,2.6,19.4,1996,226.0,1130.0,0.2,12.3,0.209,72,10,.878,—,105.2,92.9,11.80,-0.6583986965278881,-0.34340337100015306,0.18803970708650386,0.5638378258789832,-0.2734922895537919,-0.5653954423266733,0.08369301088262106,0.423962736010091,0.25703345252038523
12236,Scottie Pippen,31.0,Chicago Bulls,SF,82.0,82.0,37.7,7.9,16.7,0.474,1.9,5.2,0.368,6.0,11.5,0.522,0.531,2.5,3.5,0.701,2.0,4.5,6.5,5.7,1.9,0.5,2.6,2.6,20.2,1997,6.0,1150.0,0.005,13.1,0.203,69,13,.841,—,103.1,92.3,10.70,-0.5045661205960623,-0.3128675027333757,0.11349594018299944,0.9454645374309165,-0.5006654594299629,-0.3225337367645725,0.22583520105913607,0.6644320838792458,0.13243180533831814
12237,Scottie Pippen,32.0,Chicago Bulls,SF,44.0,44.0,37.5,7.2,16.0,0.447,1.4,4.4,0.318,5.8,11.6,0.496,0.491,3.4,4.4,0.777,1.2,4.0,5.2,5.8,1.8,1.0,2.5,2.6,19.1,1998,14.0,1160.0,0.012,6.6,0.193,62,20,.756,—,96.7,89.6,7.24,-0.7160859125023221,-0.7098337902014825,0.15076782363475147,0.75465118165495,0.0672674652604646,-0.9186488322351853,-0.7217794001176306,-1.289381367557639,-0.07523760663179471
12371,Shai Gilgeous-Alexander,24.0,Oklahoma City Thunder,PG,68.0,68.0,35.5,10.4,20.3,0.51,0.9,2.5,0.345,9.5,17.8,0.533,0.531,9.8,10.9,0.905,0.9,4.0,4.8,5.5,1.6,1.0,2.8,2.8,31.4,2023,46.0,1000.0,0.046,11.4,0.226,40,42,.488,13.0,117.5,116.4,0.96,1.6490899424494954,-0.8319772632685924,0.03895217327949503,0.3730244701030168,0.0672674652604646,0.4722863905295797,0.22583520105913607,0.15343471965729144,0.6100714528695771
12372,Shai Gilgeous-Alexander,25.0,Oklahoma City Thunder,PG,75.0,75.0,34.0,10.6,19.8,0.535,1.3,3.6,0.353,9.3,16.2,0.576,0.567,7.6,8.7,0.874,0.9,4.7,5.5,6.2,2.0,0.9,2.2,2.5,30.1,2024,640.0,990.0,0.646,14.6,0.275,57,25,.695,—,120.1,112.7,7.36,1.3991120065602793,-0.6182261854011502,0.2998553574417603,1.1362778932068833,-0.046319119677620854,1.0242448122616299,1.0786883421182234,1.1153121111339115,1.6276515715231294
12373,Shai Gilgeous-Alexander,26.0,Oklahoma City Thunder,PG,76.0,76.0,34.2,11.3,21.8,0.519,2.1,5.7,0.375,9.2,16.1,0.571,0.569,7.9,8.8,0.898,0.9,4.1,5.0,6.4,1.7,1.0,2.4,2.2,32.7,2025,913.0,1000.0,0.913,16.7,0.309,68,14,.829,—,120.5,107.6,12.70,1.8990678783387127,-0.7709055267350374,0.37439912434526473,0.5638378258789832,0.0672674652604646,0.6709914223531177,1.1260690721770619,1.7465441492904434,2.333727572221512
12426,Shaquille O'Neal,20.0,Orlando Magic,C,81.0,81.0,37.9,9.0,16.1,0.562,0.0,0.0,0.0,9.0,16.1,0.563,0.562,5.3,8.9,0.592,4.2,9.6,13.9,1.9,0.7,3.5,3.8,4.0,23.4,1993,30.0,980.0,0.031,10.4,0.163,41,41,.500,19.0,105.5,104.2,1.35,0.11076418313123976,1.9467867490081558,-1.3028356309835831,-1.3442957318806834,2.906932088712602,1.620359907732244,0.9602365169711303,-0.1471519651791524,-0.6982458425421326
12427,Shaquille O'Neal,21.0,Orlando Magic,C,81.0,81.0,39.8,11.8,19.6,0.599,0.0,0.0,0.0,11.8,19.6,0.6,0.599,5.8,10.5,0.554,4.7,8.5,13.2,2.4,0.9,2.9,2.7,3.5,29.3,1994,289.0,1010.0,0.286,16.9,0.252,50,32,.610,7.0,105.7,101.8,3.68,1.2452794306284536,1.7330356711407133,-1.1164762137248223,-0.96266902032875,2.225412579084089,2.4372583718956755,1.836780023059637,1.806661486257732,1.1500119239918698
12428,Shaquille O'Neal,22.0,Orlando Magic,C,79.0,79.0,37.0,11.8,20.2,0.583,0.0,0.1,0.0,11.8,20.1,0.585,0.583,5.8,10.8,0.533,4.2,7.3,11.4,2.7,0.9,2.4,2.6,3.3,29.3,1995,605.0,1050.0,0.576,14.0,0.23,57,25,.695,—,110.9,103.8,6.44,1.2452794306284536,1.1833900423387196,-1.0046605633695658,-0.96266902032875,1.6574796543936614,2.0840049819871638,1.4577341825889303,0.9349601002320453,0.6931392176576222
12429,Shaquille O'Neal,23.0,Orlando Magic,C,54.0,52.0,36.0,11.0,19.1,0.573,0.0,0.0,0.5,10.9,19.1,0.573,0.574,4.6,9.5,0.487,3.4,7.7,11.0,2.9,0.6,2.1,2.9,3.6,26.6,1996,63.0,1130.0,0.056,6.9,0.171,60,22,.732,—,104.5,99.0,5.40,0.7260944868585426,1.0612465692716095,-0.9301167964660615,-1.53510908765665,1.3167198995794052,1.8632216132943435,1.2445208973241577,-1.1992053621067058,-0.5321103129660424
12430,Shaquille O'Neal,24.0,Los Angeles Lakers,C,51.0,51.0,38.1,10.8,19.4,0.557,0.0,0.1,0.0,10.8,19.4,0.559,0.557,4.5,9.4,0.484,3.8,8.7,12.5,3.1,0.9,2.9,2.9,3.5,26.2,1997,7.0,1150.0,0.006,8.0,0.197,56,26,.683,1.0,100.0,95.7,3.66,0.6491781988926294,1.5192845932732713,-0.8555730295625571,-0.96266902032875,2.225412579084089,1.5099682233858338,0.8417846918240345,-0.8685600087866178,0.00783015815625042
12432,Shaquille O'Neal,26.0,Los Angeles Lakers,C,49.0,49.0,34.8,10.4,18.1,0.576,0.0,0.0,0.0,10.4,18.0,0.577,0.576,5.5,10.2,0.54,3.8,6.9,10.7,2.3,0.7,1.7,2.5,3.2,26.3,1999,89.0,1180.0,0.075,9.0,0.255,31,19,.620,4.0,99.0,96.0,2.68,0.6684072708841078,0.969638964471277,-1.1537480971765746,-1.3442957318806834,0.862373559827063,1.9294566239021895,1.291901627382996,-0.5679733239501739,1.2123127475829036
12433,Shaquille O'Neal,27.0,Los Angeles Lakers,C,79.0,79.0,40.0,12.1,21.1,0.574,0.0,0.0,0.0,12.1,21.1,0.575,0.574,5.5,10.4,0.524,4.3,9.4,13.6,3.8,0.5,3.0,2.8,3.2,29.7,2000,1207.0,1210.0,0.998,18.6,0.283,67,15,.817,—,100.8,92.3,8.41,1.3221957185943662,1.8551791442078231,-0.594669845400292,-1.7259224434326168,2.3389991640221743,1.8852999501636256,1.2445208973241577,2.3176588504796873,1.7937871010992186
12434,Shaquille O'Neal,28.0,Los Angeles Lakers,C,74.0,74.0,39.5,11.0,19.2,0.572,0.0,0.0,0.0,11.0,19.2,0.573,0.572,6.7,13.1,0.513,3.9,8.8,12.7,3.7,0.6,2.8,2.9,3.5,28.7,2001,578.0,1240.0,0.466,14.9,0.245,56,26,.683,—,100.6,97.2,3.74,1.1299049986795842,1.580356329806826,-0.631941728852044,-1.53510908765665,2.1118259941460034,1.8411432764250615,1.1971401672653192,1.2054881165848448,1.0046433356127908
12435,Shaquille O'Neal,29.0,Los Angeles Lakers,C,67.0,66.0,36.1,10.6,18.3,0.579,0.0,0.0,0.0,10.6,18.3,0.58,0.579,5.9,10.7,0.555,3.5,7.2,10.7,3.0,0.6,2.0,2.6,3.0,27.2,2002,696.0,1260.0,0.552,13.2,0.262,58,24,.707,3.0,101.3,94.1,7.15,0.8414689188074114,0.969638964471277,-0.8928449130143092,-1.53510908765665,1.2031333146413195,1.9956916345100355,1.3629727224712536,0.69449075236289,1.3576813359619828
12489,Shawn Kemp,23.0,Seattle SuperSonics,PF,78.0,68.0,33.1,6.6,13.4,0.492,0.0,0.1,0.0,6.6,13.4,0.494,0.492,4.6,6.4,0.712,3.7,7.0,10.7,2.0,1.5,1.9,2.8,4.2,17.8,1993,1.0,980.0,0.001,9.1,0.169,55,27,.671,7.0,108.3,101.3,6.66,-0.9660638483915388,0.969638964471277,-1.265563747531831,0.18221111432705,1.089546729703234,0.07487632688250362,-0.6980890350882115,-0.5379146554665296,-0.573644195360065
12490,Shawn Kemp,24.0,Seattle SuperSonics,PF,79.0,73.0,32.9,6.7,12.5,0.538,0.0,0.1,0.25,6.7,12.5,0.54,0.539,4.6,6.2,0.741,3.9,6.8,10.8,2.6,1.8,2.1,3.3,3.9,18.1,1994,17.0,1010.0,0.017,11.7,0.216,63,19,.768,—,105.9,96.9,8.68,-0.9083766324171041,1.0001748327380549,-1.041932446821318,0.75465118165495,1.3167198995794052,1.0904798228694759,0.4153581212944894,0.24361072510822426,0.40240204089946424
12492,Shawn Kemp,26.0,Seattle SuperSonics,PF,79.0,76.0,33.3,6.7,11.9,0.561,0.1,0.2,0.417,6.6,11.7,0.563,0.564,6.2,8.4,0.742,3.5,7.9,11.4,2.2,1.2,1.6,4.0,3.8,19.6,1996,73.0,1130.0,0.065,11.2,0.205,64,18,.780,—,104.5,96.7,7.40,-0.6199405525449311,1.1833900423387196,-1.1910199806283266,-0.3902289530008501,0.7487869748889777,1.5982815708629619,1.007617247029966,0.09331738269000235,0.1739656877323401
